,year,documentary,film-noir,short,comedy,drama,romance,talkshow
104,1999,3066668.0,0,4840836.0,7784065.0,5854680.0,3829435.0,1750654.0
105,2000,1948798.0,0,3084135.0,5715738.0,6769510.0,1942204.0,780842.0
106,2001,2075143.0,0,1366129.0,4923134.0,6407510.0,2506833.0,1705733.0
107,2002,3506402.0,0,1175145.0,5365863.0,6069232.0,2226102.0,2013019.0
108,2003,3218130.0,0,5204604.0,8035056.0,8574684.0,1791020.0,4989979.0
109,2004,6620428.0,0,4111563.0,10357336.0,8229047.0,4660188.0,8761990.0
110,2005,3354396.0,0,4932129.0,10262818.0,11710998.0,3459205.0,9106876.0
111,2006,2503050.0,0,2165165.0,5997237.0,8043170.0,3855287.0,5171069.0
112,2007,775983.0,0,345234.0,1854917.0,2029579.0,606791.0,502980.0
113,2008,69263.0,0,8662.0,127718.0,317308.0,47532.0,5370.0
114,2009,44026.0,0,5758.0,191556.0,559582.0,10771.0,214.0
115,2010,6848.0,0,1104.0,23125.0,52933.0,3796.0,7705.0
116,2011,351.0,0,3709.0,29804.0,90840.0,17103.0,3898.0
117,2012,1280.0,0,1061.0,14151.0,33240.0,2309.0,8581.0
118,2013,16597.0,0,5337.0,26638.0,36833.0,11002.0,2625.0
119,2014,1964.0,0,5741.0,11402.0,11508.0,3176.0,7101.0
120,2015,4152.0,0,2976.0,21682.0,64684.0,2925.0,23478.0
121,2016,4647.0,0,13004.0,21838.0,66615.0,53885.0,30218.0
122,2017,2669.0,0,12601.0,30655.0,65088.0,27288.0,46213.0
123,2018,23626.0,0,27722.0,24936.0,97620.0,31507.0,27449.0
124,2019,49805.0,0,70440.0,120260.0,82704.0,37005.0,114818.0
125,2020,141.0,0,162.0,170.0,1728.0,37.0,0.0
126,2021,0.0,0,0.0,0.0,5.0,0.0,0
127,2022,0.0,0,0.0,0.0,0.0,0.0,0
