,year,documentary,film-noir,short,comedy,drama,romance,talkshow
27,1922,120.93929712460064,0,383.3050969131371,282.2235682819383,286.396408839779,364.9875776397516,0
28,1923,104.21317829457364,0,724.0828677839851,1103.271164021164,1881.5205479452054,668.5391304347826,0
29,1924,44.8,0,446.35132743362834,877.1882057716437,640.0313479623825,3486.467213114754,0
30,1925,53.349862258953166,0,560.8312597200622,933.3480128893663,893.4455882352942,426.12025316455697,0
31,1926,906.7932330827068,0,768.4010654490106,1065.915392456677,265.8978185993111,400.508547008547,0
32,1927,132.02586206896552,10.0,363.73580620741865,496.2434274586173,624.9822812846069,1138.409756097561,0
33,1928,741.253125,1337.0,742.1326137239785,837.364537444934,329.17101147028154,570.19,0
34,1929,59.34444444444444,59.5,1013.0549229738781,1785.1540256709452,463.3398843930636,976.5372340425532,0
35,1930,298.2780082987552,824.0,1072.7160611854686,376.2588383838384,561.4581218274112,983.5513307984791,0
36,1931,520.3640552995391,349.6666666666667,495.6,772.1414634146341,421.70931537598204,501.8478260869565,0.0
37,1932,924.4785894206549,613.25,582.6461538461539,1009.0343878954608,1772.3589743589744,6342.497716894977,0
38,1933,411.73087071240104,815.0,655.5134788189987,1385.9313984168866,567.6149870801033,1484.057268722467,0
39,1934,88.14487632508833,29.0,1802.5896860986547,434.28218465539663,1045.9974747474748,446.99277978339353,0
40,1935,289.94557823129253,1430.0,1217.7952853598015,1829.2308724832214,1062.5056461731492,3124.9037800687283,0
41,1936,526.5540796963946,977.8,423.95990836197024,709.4,792.7962747380675,1343.650980392157,0.0
42,1937,1987.859967051071,1631.4444444444443,1458.598121085595,1007.0234466588511,601.9571428571429,873.8132911392405,0.0
43,1938,472.0376569037657,1105.0,1900.282894736842,1340.8205714285714,2002.6597145993414,2224.59375,0.0
44,1939,797.5954773869347,651.4444444444445,616.3595360824743,1157.9559032716927,957.5964497041421,724.018691588785,0.0
45,1940,1840.6497005988024,84.375,1459.0445103857567,1502.689430894309,767.1115760111576,1188.7277227722773,0
46,1941,253.41322314049586,581.3571428571429,642.59875,901.968373493976,851.5316239316239,844.2871287128713,0
47,1942,188.02233250620347,2316.590909090909,320.82262210796915,2079.5604575163397,2592.269759450172,3584.5706806282724,0
48,1943,265.20448877805484,207.88888888888889,300.9029535864979,1490.5785440613026,657.931688804554,1753.987341772152,0
49,1944,355.2564935064935,1405.6923076923076,2924.247467438495,801.6943820224719,992.0726495726495,778.1847133757962,0
50,1945,165.52227722772278,6399.184210526316,415.004132231405,1345.3721518987343,2758.8347639484978,6544.076923076923,0
